# RustyDagger characterisation baseline, format 3
# Generated by ./gradlew baseline -- do not hand-edit.
# Every line is an observed outcome of the Java build. The TypeScript port must
# reproduce this file exactly. A diff here is a port defect, not a formatting nit.

== RNG PRIMITIVES ==
roll(100) seed=0 -> 60,48,29,47,15,53,91,61,19,54,77,77,73,62,95,44,84,75,41,20,
twice(3)  seed=0 -> 1,3,4,2,2,4,3,4,1,4,1,4,3,1,2,4,4,4,2,1,
contest(30,20) seed=0 -> TFTFTTFTTTTTTTFFFTFT
nextInt() seed=0 -> -1155484576,-723955400,1033096058,-1690734402,-1557280266,1327362106,-1930858313,502539523,-1728529858,-938301587,
roll(100) seed=1 -> 85,88,47,13,54,4,34,6,78,48,69,73,17,63,62,34,92,62,96,89,
twice(3)  seed=1 -> 1,1,3,3,2,2,1,1,2,2,4,3,4,3,2,2,1,2,0,2,
contest(30,20) seed=1 -> FFFTTTFTTFTTTTTFFTFF
nextInt() seed=1 -> -1155869325,431529176,1761283695,1749940626,892128508,155629808,1429008869,-1465154083,-138487339,-1242363800,
roll(100) seed=42 -> 30,63,48,84,70,25,5,18,19,93,82,2,76,92,76,32,56,70,43,9,
twice(3)  seed=42 -> 2,2,1,4,3,4,0,4,0,3,3,2,2,2,1,1,4,4,1,1,
contest(30,20) seed=42 -> FTFFTTTTTFFTTFTFTTFT
nextInt() seed=42 -> -1170105035,234785527,-1360544799,205897768,1325939940,-248792245,1190043011,-1255373459,-1436456258,392236186,
roll(100) seed=12345 -> 51,80,41,28,55,84,75,2,1,89,17,42,90,6,12,84,87,3,32,75,
twice(3)  seed=12345 -> 2,0,2,1,1,2,2,3,3,2,3,2,2,4,2,2,1,4,2,2,
contest(30,20) seed=12345 -> TFFTTFTTTFTFFTTFFTFT
nextInt() seed=12345 -> 1553932502,-2090749135,-287790814,-355989640,-716867186,161804169,1402202751,535445604,1011567003,151766778,
roll(100) seed=999999 -> 7,67,54,70,17,7,19,18,66,79,31,23,35,18,73,71,77,44,69,0,
twice(3)  seed=999999 -> 4,3,3,3,3,1,2,4,0,3,3,3,3,2,4,3,1,3,2,2,
contest(30,20) seed=999999 -> TTTTTTTTTTFTFTTTTFTT
nextInt() seed=999999 -> 1622475814,1384458935,-883283388,1461393141,-485296662,-2087504282,-1645098457,1844515036,-933788363,546009159,

== LEVELLING ==
level=1 raise=50 baseQuests=30
level=2 raise=75 baseQuests=33
level=3 raise=112 baseQuests=36
level=4 raise=168 baseQuests=39
level=5 raise=253 baseQuests=42
level=6 raise=379 baseQuests=45
level=7 raise=569 baseQuests=48
level=8 raise=854 baseQuests=51
level=9 raise=1281 baseQuests=54
level=10 raise=1922 baseQuests=57
level=11 raise=2883 baseQuests=60
level=12 raise=4324 baseQuests=63
level=13 raise=6487 baseQuests=66
level=14 raise=9730 baseQuests=69
level=15 raise=14596 baseQuests=72
level=16 raise=21894 baseQuests=75
level=17 raise=32842 baseQuests=78
level=18 raise=49263 baseQuests=81
level=19 raise=73894 baseQuests=84
level=20 raise=110841 baseQuests=87
level=21 raise=166262 baseQuests=90
level=22 raise=249394 baseQuests=93
level=23 raise=374091 baseQuests=96
level=24 raise=561137 baseQuests=99
level=25 raise=841705 baseQuests=102
level=26 raise=1262558 baseQuests=105
level=27 raise=1893837 baseQuests=108
level=28 raise=2840756 baseQuests=111
level=29 raise=4261134 baseQuests=114
level=30 raise=6391701 baseQuests=117

== COMBAT ==
monster=Brasil:Fighter build=0 weight=2 seed=1 | text=Fighter:Good Hit\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=52,w=46,c=52,a=40,d=40,s=148,state=Alive
monster=Shang:Peasant build=3 weight=5 seed=42 | text=H3:Potent Hit\n    ---Peasant KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=68,w=52,c=59,a=20,d=20,s=115,state=Dead
monster=Shang:Peasant build=3 weight=5 seed=98765 | text=H3:Weak Blow\n    ---Peasant KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=55,w=42,c=58,a=20,d=20,s=108,state=Dead
monster=Shang:Plague build=0 weight=2 seed=1 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=0 weight=2 seed=42 | text=Plague:POWER HIT!\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=0 weight=2 seed=98765 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=0 weight=3 seed=1 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=0 weight=3 seed=42 | text=Plague:POWER HIT!\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=0 weight=3 seed=98765 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=0 weight=5 seed=1 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=0 weight=5 seed=42 | text=Plague:POWER HIT!\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=0 weight=5 seed=98765 | text=Plague:Weak Blow\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=1 weight=2 seed=1 | text=Plague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=1 weight=2 seed=42 | text=Plague:POWER HIT!\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=1 weight=2 seed=98765 | text=H1:Good Hit\n    ---Plague DODGED!\nPlague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=1 weight=3 seed=1 | text=Plague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=1 weight=3 seed=42 | text=Plague:POWER HIT!\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=1 weight=3 seed=98765 | text=H1:Good Hit\n    ---Plague DODGED!\nPlague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=1 weight=5 seed=1 | text=Plague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Alive
monster=Shang:Plague build=1 weight=5 seed=42 | text=Plague:POWER HIT!\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=1 weight=5 seed=98765 | text=H1:Good Hit\n    ---Plague DODGED!\nPlague:Weak Blow\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=2 weight=2 seed=1 | text=Plague:Weak Blow\n    ---H2 Unharmed\nH2:Good Hit\n    ---Plague KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=2 weight=2 seed=42 | text=Plague:POWER HIT!\n    ---H2 Scratched\nH2:Weak Blow\n    ---Plague DODGED!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=2 weight=2 seed=98765 | text=H2:Good Hit\n    ---Plague Wounded!!\nPlague:Weak Blow\n    ---H2 Unharmed\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=2 weight=3 seed=1 | text=Plague:Weak Blow\n    ---H2 Unharmed\nH2:Good Hit\n    ---Plague KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=2 weight=3 seed=42 | text=Plague:POWER HIT!\n    ---H2 Scratched\nH2:Weak Blow\n    ---Plague DODGED!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=2 weight=3 seed=98765 | text=H2:Good Hit\n    ---Plague Wounded!!\nPlague:Weak Blow\n    ---H2 Unharmed\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=2 weight=5 seed=1 | text=Plague:Weak Blow\n    ---H2 Unharmed\nH2:Good Hit\n    ---Plague KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=2 weight=5 seed=42 | text=Plague:POWER HIT!\n    ---H2 Scratched\nH2:Weak Blow\n    ---Plague DODGED!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Alive
monster=Shang:Plague build=2 weight=5 seed=98765 | text=H2:Good Hit\n    ---Plague Wounded!!\nPlague:Weak Blow\n    ---H2 Unharmed\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Alive
monster=Shang:Plague build=3 weight=2 seed=1 | text=Plague:Fly Swat\n    ---H3 Unharmed\nH3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=3 weight=2 seed=42 | text=Plague:Potent Hit\n    ---H3 Unharmed\nH3:Potent Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Dead
monster=Shang:Plague build=3 weight=2 seed=98765 | text=H3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Dead
monster=Shang:Plague build=3 weight=3 seed=1 | text=Plague:Fly Swat\n    ---H3 Unharmed\nH3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=3 weight=3 seed=42 | text=Plague:Potent Hit\n    ---H3 Unharmed\nH3:Potent Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Dead
monster=Shang:Plague build=3 weight=3 seed=98765 | text=H3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Dead
monster=Shang:Plague build=3 weight=5 seed=1 | text=Plague:Fly Swat\n    ---H3 Unharmed\nH3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=52,w=74,c=80,a=30,d=30,s=176,state=Dead
monster=Shang:Plague build=3 weight=5 seed=42 | text=Plague:Potent Hit\n    ---H3 Unharmed\nH3:Potent Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=71,w=58,c=75,a=30,d=30,s=164,state=Dead
monster=Shang:Plague build=3 weight=5 seed=98765 | text=H3:Good Hit\n    ---Plague KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=64,w=59,c=83,a=30,d=30,s=167,state=Dead
monster=Shang:Samurai build=0 weight=2 seed=1 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=0 weight=2 seed=42 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=0 weight=2 seed=98765 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=0 weight=3 seed=1 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=0 weight=3 seed=42 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=0 weight=3 seed=98765 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=0 weight=5 seed=1 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=0 weight=5 seed=42 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=0 weight=5 seed=98765 | text=Samurai:Ieatsu\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=1 weight=2 seed=1 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=1 weight=2 seed=42 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=1 weight=2 seed=98765 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=1 weight=3 seed=1 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=1 weight=3 seed=42 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=1 weight=3 seed=98765 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=1 weight=5 seed=1 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=1 weight=5 seed=42 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=1 weight=5 seed=98765 | text=Samurai:Ieatsu\n    ---H1 KILLED!!!\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=2 weight=2 seed=1 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=2 weight=2 seed=42 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=2 weight=2 seed=98765 | text=H2:Potent Hit\n    ---Samurai DODGED!\nSamurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=2 weight=3 seed=1 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=2 weight=3 seed=42 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=2 weight=3 seed=98765 | text=H2:Potent Hit\n    ---Samurai DODGED!\nSamurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=2 weight=5 seed=1 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Alive
monster=Shang:Samurai build=2 weight=5 seed=42 | text=Samurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=2 weight=5 seed=98765 | text=H2:Potent Hit\n    ---Samurai DODGED!\nSamurai:Ieatsu\n    ---H2 KILLED!!!\n | hero=g=80,w=40,c=40,a=60,d=50,s=70,state=Dead | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Alive
monster=Shang:Samurai build=3 weight=2 seed=1 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:POWER HIT!\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Dead
monster=Shang:Samurai build=3 weight=2 seed=42 | text=Samurai:Ieatsu\n    ---H3 Wounded!!\nH3:Fly Swat\n    ---Samurai DODGED!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=3 weight=2 seed=98765 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:Potent Hit\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Dead
monster=Shang:Samurai build=3 weight=3 seed=1 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:POWER HIT!\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Dead
monster=Shang:Samurai build=3 weight=3 seed=42 | text=Samurai:Ieatsu\n    ---H3 Wounded!!\nH3:Fly Swat\n    ---Samurai DODGED!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=3 weight=3 seed=98765 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:Potent Hit\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Dead
monster=Shang:Samurai build=3 weight=5 seed=1 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:POWER HIT!\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=141,w=103,c=134,a=50,d=50,s=274,state=Dead
monster=Shang:Samurai build=3 weight=5 seed=42 | text=Samurai:Ieatsu\n    ---H3 Wounded!!\nH3:Fly Swat\n    ---Samurai DODGED!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=172,w=113,c=120,a=50,d=50,s=276,state=Alive
monster=Shang:Samurai build=3 weight=5 seed=98765 | text=Samurai:Ieatsu\n    ---H3 Injured!\nH3:Potent Hit\n    ---Samurai KILLED!!!\n | hero=g=200,w=90,c=90,a=150,d=120,s=180,state=Alive | mob=g=138,w=96,c=103,a=50,d=50,s=259,state=Dead
monster=Shang:Shogun build=0 weight=2 seed=1 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=0 weight=2 seed=42 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=0 weight=2 seed=98765 | text=Shogun:Magic Assault\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
monster=Shang:Shogun build=0 weight=3 seed=1 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=0 weight=3 seed=42 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=0 weight=3 seed=98765 | text=Shogun:Magic Assault\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
monster=Shang:Shogun build=0 weight=5 seed=1 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=0 weight=5 seed=42 | text=Shogun:Magic Assault\n    ---H0 KILLED!!! +PANIC+\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=0 weight=5 seed=98765 | text=Shogun:Magic Assault\n    ---H0 KILLED!!!\n | hero=g=10,w=10,c=10,a=5,d=5,s=5,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
monster=Shang:Shogun build=1 weight=2 seed=1 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=1 weight=2 seed=42 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=1 weight=2 seed=98765 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
monster=Shang:Shogun build=1 weight=3 seed=1 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=1 weight=3 seed=42 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=1 weight=3 seed=98765 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
monster=Shang:Shogun build=1 weight=5 seed=1 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=141,w=79,c=94,a=50,d=0,s=384,state=Alive
monster=Shang:Shogun build=1 weight=5 seed=42 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=172,w=82,c=111,a=50,d=0,s=392,state=Alive
monster=Shang:Shogun build=1 weight=5 seed=98765 | text=Shogun:Magic Assault\n    ---H1 KILLED!!! +PANIC+\n | hero=g=30,w=20,c=20,a=20,d=15,s=25,state=Dead | mob=g=138,w=100,c=96,a=50,d=0,s=399,state=Alive
